Company,Date,UnixTS,Retweets,Followers,Sentiments
MSFT,2016-06-15,1465966440,683,145,Neutral
MSFT,2016-06-15,1465966440,3,9014,Negative
MSFT,2016-06-15,1465966320,1,1401,Neutral
MSFT,2016-06-15,1465966260,0,,Neutral
MSFT,2016-06-15,1465966200,5,11875,Neutral
MSFT,2016-06-15,1465966080,0,255,Neutral
MSFT,2016-06-15,1465965720,8,854,Neutral
MSFT,2016-06-15,1465965720,0,1074,Neutral
MSFT,2016-06-15,1465965660,8,851,Neutral
MSFT,2016-06-15,1465965600,0,6365,Neutral
MSFT,2016-06-15,1465965060,5,1484,Neutral
MSFT,2016-06-15,1465964880,0,3502,Neutral
MSFT,2016-06-15,1465963620,2,1198,Neutral
MSFT,2016-06-15,1465963560,1,413,Negative
MSFT,2016-06-15,1465963560,2,61,Neutral
MSFT,2016-06-15,1465963560,0,4588,Neutral
MSFT,2016-06-15,1465963500,1,28263,Neutral
MSFT,2016-06-15,1465963140,683,283,Neutral
MSFT,2016-06-15,1465963080,12,153,Neutral
MSFT,2016-06-15,1465963020,25,153,Neutral
MSFT,2016-06-15,1465962900,0,376,Neutral
MSFT,2016-06-15,1465962120,1,1322,Neutral
MSFT,2016-06-15,1465961580,0,413,Neutral
MSFT,2016-06-15,1465961340,1,413,Neutral
MSFT,2016-06-15,1465961160,12,236,Neutral
MSFT,2016-06-15,1465961160,0,413,Highly Positive
MSFT,2016-06-15,1465960560,0,99,Neutral
MSFT,2016-06-15,1465960500,0,73,Neutral
MSFT,2016-06-15,1465960500,0,99,Neutral
MSFT,2016-06-15,1465960380,0,18,Neutral
MSFT,2016-06-15,1465960320,0,71,Neutral
MSFT,2016-06-15,1465960260,0,413,Positive
MSFT,2016-06-15,1465960140,1,1675,Neutral
MSFT,2016-06-15,1465960080,2,413,Neutral
MSFT,2016-06-15,1465960080,5,1747,Neutral
MSFT,2016-06-15,1465959780,0,68,Neutral
MSFT,2016-06-15,1465959780,0,80,Neutral
MSFT,2016-06-15,1465959540,0,356,Neutral
MSFT,2016-06-15,1465959540,0,21917,Neutral
MSFT,2016-06-15,1465959420,5,127,Neutral
MSFT,2016-06-15,1465959300,5,376,Neutral
MSFT,2016-06-15,1465959300,5,995,Neutral
MSFT,2016-06-15,1465959240,5,4886,Neutral
MSFT,2016-06-15,1465958460,0,3502,Negative
MSFT,2016-06-15,1465957560,2,49,Neutral
MSFT,2016-06-15,1465957500,8,2218,Neutral
MSFT,2016-06-15,1465957380,2,20635,Neutral
MSFT,2016-06-15,1465957260,0,71,Neutral
MSFT,2016-06-15,1465957260,0,77,Neutral
MSFT,2016-06-15,1465957140,4,127,Neutral
MSFT,2016-06-15,1465957020,4,224,Neutral
MSFT,2016-06-15,1465956960,0,72,Neutral
MSFT,2016-06-15,1465956900,0,73,Neutral
MSFT,2016-06-15,1465956900,0,59,Neutral
MSFT,2016-06-15,1465956840,0,838,Neutral
MSFT,2016-06-15,1465956840,0,55,Neutral
MSFT,2016-06-15,1465956660,0,86,Neutral
MSFT,2016-06-15,1465956420,2,21761,Neutral
MSFT,2016-06-15,1465956360,0,73,Neutral
MSFT,2016-06-15,1465956300,0,156,Neutral
MSFT,2016-06-15,1465956300,1,28499,Neutral
MSFT,2016-06-15,1465956060,0,102,Negative
MSFT,2016-06-15,1465955700,1,1199,Negative
MSFT,2016-06-15,1465955460,0,3178,Neutral
MSFT,2016-06-15,1465954920,1,157,Negative
MSFT,2016-06-15,1465954740,0,1553,Neutral
MSFT,2016-06-15,1465954500,0,771,Neutral
MSFT,2016-06-15,1465954500,0,6365,Neutral
MSFT,2016-06-15,1465954320,0,139,Negative
MSFT,2016-06-15,1465954200,0,361,Positive
MSFT,2016-06-15,1465953900,2,927,Neutral
MSFT,2016-06-15,1465953840,0,442,Neutral
MSFT,2016-06-15,1465953660,0,80,Neutral
MSFT,2016-06-15,1465953660,0,324,Neutral
MSFT,2016-06-15,1465953600,1,241,Neutral
MSFT,2016-06-15,1465953300,0,58,Neutral
MSFT,2016-06-15,1465953120,4,211,Neutral
MSFT,2016-06-15,1465953120,2,1041,Neutral
MSFT,2016-06-15,1465953120,4,54564,Neutral
MSFT,2016-06-15,1465952940,0,6365,Neutral
MSFT,2016-06-15,1465952940,0,4588,Neutral
MSFT,2016-06-15,1465952760,0,699,Negative
MSFT,2016-06-15,1465952760,0,3027,Neutral
MSFT,2016-06-15,1465952700,0,1818,Neutral
MSFT,2016-06-15,1465952520,0,102,Positive
MSFT,2016-06-15,1465952520,21,344,Negative
MSFT,2016-06-15,1465952280,1,1704,Negative
MSFT,2016-06-15,1465952220,0,338,Neutral
MSFT,2016-06-15,1465952160,683,398,Neutral
MSFT,2016-06-15,1465951920,0,742,Negative
MSFT,2016-06-15,1465951800,0,1674,Neutral
MSFT,2016-06-15,1465951800,0,607,Neutral
MSFT,2016-06-15,1465951740,2,28264,Positive
MSFT,2016-06-15,1465951560,21,169,Negative
MSFT,2016-06-15,1465951560,0,946,Negative
MSFT,2016-06-15,1465951500,0,3,Negative
MSFT,2016-06-15,1465951380,0,3699,Negative
MSFT,2016-06-15,1465951380,0,1829,Neutral
MSFT,2016-06-15,1465951140,0,1675,Neutral
MSFT,2016-06-15,1465951080,0,638,Negative
MSFT,2016-06-15,1465950780,2,17392,Neutral
MSFT,2016-06-15,1465950600,2,1099,Positive
MSFT,2016-06-15,1465950600,21,273,Negative
MSFT,2016-06-15,1465950540,0,222,Neutral
MSFT,2016-06-15,1465950540,0,16177,Neutral
MSFT,2016-06-15,1465950360,2,17185,Positive
MSFT,2016-06-15,1465949760,0,2696,Neutral
MSFT,2016-06-15,1465949760,0,72,Neutral
MSFT,2016-06-15,1465949640,5,57,Neutral
MSFT,2016-06-15,1465949520,683,110,Neutral
MSFT,2016-06-15,1465949400,0,72,Neutral
MSFT,2016-06-15,1465949280,18,296,Neutral
MSFT,2016-06-15,1465949160,0,30091,Neutral
MSFT,2016-06-15,1465949040,2,2343,Negative
MSFT,2016-06-15,1465948980,0,72,Neutral
MSFT,2016-06-15,1465948860,0,77,Neutral
MSFT,2016-06-15,1465948860,1,21565,Neutral
MSFT,2016-06-14,1465948740,0,2823,Neutral
MSFT,2016-06-14,1465948620,13,17940,Neutral
MSFT,2016-06-14,1465948620,3,105,Neutral
MSFT,2016-06-14,1465948620,13,105,Neutral
