created,text,retweet_count,followers
2017-10-30T13:17:57.000Z,"RT @EmergingGrowth1: $CGUD #RaspberryPi #Retweet
https://t.co/OyfKYft5DA
$ALRM $BITLF $DIGTF $ISGN $AWRE $IWSY $EVBG $IDN $MJDS $MSFT… ",29,17789
2017-10-30T13:18:58.000Z,Microsoft Azure is growing faster than AWS and big brands are behind the expansion https://t.co/aVUNi9w1Pj #MSFT #AWS,0,1150
2017-10-30T13:23:14.000Z,"RT @EmergingGrowth1: $CGUD #RaspberryPi #Retweet
https://t.co/OyfKYft5DA
$ALRM $BITLF $DIGTF $ISGN $AWRE $IWSY $EVBG $IDN $MJDS $MSFT… ",29,2554
2017-10-30T13:24:37.000Z,Satya Nadella @geekwire Summit interview: #MSFT transformation and the future of tech @toddbishop @MSFTResearch https://t.co/RrZovdcJkC,0,1323
2017-10-30T13:26:05.000Z,RT @Jacob_Mintz: My scanning system is finding lots of cheap upside Calls in earnings winners $TEAM $GLW $STM $ALGN $MSFT $TER $TWTR https:…,29,2796
2017-10-30T13:27:28.000Z,"MSFT Top news - Oct 30th, 2017 $MSFT http://https://t.co/hInPcIcjyw",0,744
2017-10-30T13:32:25.000Z,$MSFT post-earnings lows (RTH trading hours)  #ignore,0,2282
2017-10-30T13:33:44.000Z,a real leadership transformation at $MSFT  https://t.co/ZmCOqvForv,0,79
2017-10-30T13:34:41.000Z,"$MSFT probably holdz gap support interim but either way piggy way overdone, longterm short now https://t.co/XmdodZ1sap",0,810
2017-10-30T13:38:40.000Z,@Guruleaks1 @traderchuck @DayTradeWarrior @Feuse135 What a slab Lolz slab city $QQQ $SPY $AMZN $MSFT $AAPL $INTC,0,140
2017-10-30T13:39:29.000Z,"Attention all $FB, $AMZN, $MSFT, $AAPL, $NFLX, and $GOOGL investors imagine if you could have bought what you have… https://t.co/iCKpZKGTo4 https://t.co/5veuKbQRpA",0,132
2017-10-30T13:39:57.000Z,"As Microsoft $MSFT Valuation Rose, Valueact Holdings LP Has Lowered Its Position by $475.95 Million ...",0,41
2017-10-30T13:40:11.000Z,Microsoft and Chevron announce Azure partnership https://t.co/wFsgN4z35h $MSFT $CVX,0,30152
2017-10-30T13:40:12.000Z,Microsoft and Chevron announce Azure partnership https://t.co/pUeC8zX2H2 $MSFT $CVX,0,8517
2017-10-30T13:40:12.000Z,Microsoft and Chevron announce Azure partnership https://t.co/dhIO20yNDI $MSFT $CVX,0,1235
2017-10-30T13:41:45.000Z,Jefferies Group Weighs in on Microsoft Corporation’s Q3 2018 Earnings $MSFT https://t.co/lvqQRCBqmD,0,1008
2017-10-30T13:41:47.000Z,Q3 2018 Earnings Estimate for Microsoft Corporation $MSFT Issued By William Blair https://t.co/lpH0w9j8rJ,0,1008
2017-10-30T13:41:53.000Z,Jefferies Group Weighs in on Microsoft Corporation’s Q3 2018 Earnings $MSFT https://t.co/oKdwgwY7N0 #acn,0,5018
2017-10-30T13:41:55.000Z,Q3 2018 Earnings Estimate for Microsoft Corporation $MSFT Issued By William Blair https://t.co/tLSKobHWQv #acn,0,5018
2017-10-30T13:42:07.000Z,"$MSFT $CVX:

Microsoft and Chevron announce Azure partnership:

https://t.co/2VywppY15o",0,882
2017-10-30T13:42:16.000Z,"RT SAlphaTech ""Microsoft and Chevron announce Azure partnership https://t.co/mwmMagiKwf $MSFT $CVX""",0,8234
2017-10-30T13:42:35.000Z,Jefferies Group Weighs in on Microsoft Corporation’s Q3 2018 Earnings $MSFT https://t.co/3ck6biBpXz #stocks,0,2680
2017-10-30T13:42:40.000Z,$MSFT looks like a slow grinder down. More people probably wanna shuffle their money into $FB or $BABA for this week.,0,4281
2017-10-30T13:44:01.000Z,in play today: $CELG $MSFT $SUM $BMY $SQ $THC $SRE $FNSR $LEN $SNAP,0,9
2017-10-30T13:44:01.000Z,Price Target Alert: Trading the Zacks price target change for MICROSOFT $MSFT https://t.co/kGpBqcB1hC https://t.co/HQTXkPuBqB,0,2594
2017-10-30T13:44:02.000Z,$MSFT with continued positive #momentum and was one of the top #tech #stocks in our #quant model last week https://t.co/eCYo1vHd71,0,1220
2017-10-30T13:44:23.000Z,Jefferies Group Weighs in on Microsoft Corporation’s Q3 2018 Earnings $MSFT https://t.co/YIEMa4x4lO,0,6896
2017-10-30T13:44:24.000Z,Q3 2018 Earnings Estimate for Microsoft Corporation $MSFT Issued By William Blair https://t.co/xsuPEYQmLp,0,6896
2017-10-30T13:44:56.000Z,"I highly recommend trying this out for discovering good stocks to trade https://t.co/vXQZvKjYOi
$MSFT $MICT $MRSN https://t.co/7aHOCD0Szs",0,7
2017-10-30T13:45:56.000Z,Jefferies Group Weighs in on Microsoft Corporation’s Q3 2018 Earnings $MSFT https://t.co/mxumvnziJR,0,218
2017-10-30T13:45:57.000Z,Q3 2018 Earnings Estimate for Microsoft Corporation $MSFT Issued By William Blair https://t.co/YCL2EORC9K,0,897
2017-10-30T13:46:07.000Z,Microsoft and Chevron announce Azure partnership https://t.co/BVBQH0XJBv $MSFT $CVX #sitifatimah #malaysia #financialplanning,0,313
2017-10-30T13:46:28.000Z,Jefferies Group Weighs in on Microsoft Corporation’s Q3 2018 Earnings $MSFT https://t.co/UhOrPKpLKK,0,1907
2017-10-30T13:46:39.000Z,Q3 2018 Earnings Estimate for Microsoft Corporation $MSFT Issued By William Blair https://t.co/3M0kimoG0o,0,1287
2017-10-30T13:46:56.000Z,Jefferies Group Weighs in on Microsoft Corporation’s Q3 2018 Earnings $MSFT https://t.co/CIXXRdEqJ5,0,1907
2017-10-30T13:47:02.000Z,Jefferies Group Weighs in on Microsoft Corporation’s Q3 2018 Earnings $MSFT https://t.co/hsV3UxLWtO,0,437
2017-10-30T13:47:03.000Z,Q3 2018 Earnings Estimate for Microsoft Corporation $MSFT Issued By William Blair https://t.co/7A7y20pNb7,0,438
2017-10-30T13:47:11.000Z,"Access curated tweets- high relevancy, less spam- US Tech Giants https://t.co/kdZSg01UFl $AAPL $GOOG $MSFT $FB",0,850
2017-10-30T13:47:50.000Z,Q3 2018 Earnings Estimate for Microsoft Corporation $MSFT Issued By William Blair https://t.co/wrBJX5wz3L,0,1048
2017-10-30T13:49:27.000Z,Microsoft and Chevron announce Azure partnership https://t.co/nsoVdMMgr1 $MSFT $CVX,0,362
2017-10-30T13:53:13.000Z,"$MSFT $SNE:

Nintendo Co. Doubles Profit Forecast on Strong Switch Sales:

https://t.co/xvQheH90m1",0,814
2017-10-30T13:55:26.000Z,https://t.co/CQEZjHrxTG $MSFT,0,39
2017-10-30T13:55:41.000Z,Check out my Video Analysis on the Technical conditions in $AMZN Vs. $GOOGL &amp; $MSFT coming into Friday earrings. I think it’s important,0,9671
2017-10-30T13:57:16.000Z,$AAPL $FB $AMZN $MSFT in the lead. $SPX should go green soon.,0,249
2017-10-30T13:58:44.000Z,$AAPL Definite chase going on with $APPL after $AMZN $MSFT $GOOGL $INTC results. Results need to match the buying pressure. Earnings Thurs.,0,2099
2017-10-30T13:59:08.000Z,Dividends Help a Portfolio Shine $AAPL $MSFT $JNJ $XOM $JPM $BAC $WFC $RDS.A $rds.B $V $SPY $BUD $PG $TSM $CVX $ORCL https://t.co/KCvuMscS7j,0,16609
2017-10-30T14:00:03.000Z,$MSFT #InfrastructureSoftware sector comp is now available https://t.co/LxH0lPhp54,0,13
2017-10-30T14:00:49.000Z,Q3 2018 Earnings Estimate for Microsoft Corporation $MSFT Issued By William Blair https://t.co/hcqCMghVED,0,1649
2017-10-30T14:01:30.000Z,Tech Leaders: Steve Jobs &amp; @BillGates Talks Shop In Epic Interview About Internet Of Things $AAPL $MSFT https://t.co/G9QOSnWlWm,0,16160
2017-10-30T14:01:36.000Z,52-Week High Alert: Trading today’s movement in MICROSOFT $MSFT https://t.co/vMS356iqSh https://t.co/MEecB9lmH4,0,2594
2017-10-30T14:03:25.000Z,Ascend Capital Raised Its Microsoft $MSFT Holding https://t.co/W60DjKzsKa,0,80
2017-10-30T14:08:45.000Z,Enjoying &amp; appreciating the benefits of being a #MSFT #MVP #VisualStudio #Azure for testing some scenarios https://t.co/3hL2ZqG22a,0,6007
2017-10-30T14:10:18.000Z,RT @Nandavarapu: Microsoft and Chevron announce Azure partnership https://t.co/nsoVdMMgr1 $MSFT $CVX,27,200
2017-10-30T14:12:37.000Z,SFTW Trader short-term Recommendation: $MSFT Microsoft #stocks https://t.co/rNfVyCfhYS,0,79
2017-10-30T14:13:43.000Z,$MSFT,0,409
2017-10-30T14:13:47.000Z,I’m watching someone from #MSFT attach 20+ #IoT sensors to a refrigerator. Think about all the data being collected for just ONE machine!,0,4351
2017-10-30T14:14:45.000Z,Microsoft $MSFT Valuation Rose While Vestor Capital Increased Stake https://t.co/MOJI1NFmnp,0,55
2017-10-30T14:15:04.000Z,"$MSFT $CVX:

Premarket: LIVE MARKETS BLOG:

https://t.co/VxZ69lpCw1",0,1952
2017-10-30T14:15:23.000Z,#Microsoft $MSFT Harman Kardon Invoke review: Cortana isn’t too comfortable in the home yet https://t.co/uooHOTA7K0,0,83816
